Payload Size (bytes),Send Time (seconds),Receive Time (seconds),MQTT Response Time (ms)
10,1700636728.246989,1700636728.2476723,0.6833076477050781
20,1700636729.2555015,1700636729.2569947,1.493215560913086
40,1700636730.2596526,1700636730.2608802,1.2276172637939453
80,1700636731.2633057,1700636731.2645001,1.1944770812988281
160,1700636732.2670763,1700636732.2686093,1.5330314636230469
10,1700636733.2711725,1700636733.272244,1.0714530944824219
20,1700636734.2744725,1700636734.2761626,1.6901493072509766
40,1700636735.2798116,1700636735.2814867,1.6751289367675781
80,1700636736.2847931,1700636736.2862775,1.4843940734863281
160,1700636737.2893374,1700636737.2906547,1.3172626495361328
10,1700636738.2931764,1700636738.2952187,2.0422935485839844
20,1700636739.2980502,1700636739.2992296,1.1794567108154297
40,1700636740.3013582,1700636740.302706,1.3477802276611328
80,1700636741.3050876,1700636741.306488,1.4004707336425781
160,1700636742.309103,1700636742.3111997,2.0966529846191406
10,1700636743.3134165,1700636743.315131,1.714468002319336
20,1700636744.3177385,1700636744.3189664,1.2278556823730469
40,1700636745.3214853,1700636745.322674,1.1887550354003906
80,1700636746.3251886,1700636746.326264,1.0752677917480469
160,1700636747.328495,1700636747.3299456,1.4505386352539062
10,1700636748.3321881,1700636748.333504,1.3158321380615234
20,1700636749.3361833,1700636749.3387735,2.590179443359375
40,1700636750.3423443,1700636750.3433626,1.0182857513427734
80,1700636751.345853,1700636751.3475618,1.7087459564208984
160,1700636752.3512702,1700636752.3530138,1.7435550689697266
